"","Description","Designation","TypeUnité","TypeProduit","Superficie","PrixUnitaire","PrixTotal"
"4380","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154,2415,371910
"1087","Berkane                       ","13412-TRIFA LS SAIDIA                   ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",60,4963.06,297783.56
"5177","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2150,241939.5
"2841","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",105,1155,121275
"2969","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1615,193800
"4316","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",157,2100,329700
"653","Jerada-Figuig                 ","98001-AMAL 1 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",131,350,45850
"1539","Agence Oujda                  ","50001-AMAL TR2 OUJDA                    ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",53,3169.81,168000
"5115","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",93.99,1400,131586
"3961","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",122,1837.5,224175
"1246","Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91,167800
"2014","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1210,145200
"5042","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.72,1400,134008
"342","Nador - Driouch               ","4022-IMERKANE LOTIS A ZAIO              ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",125,1395,174375
"3865","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",204,1207.5,246330
"410","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",109,1850,201650
"3853","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1207.5,231840
"6286","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"6640","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"6413","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"4207","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",162,1542.6,249901.2
"2912","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1155,138600
"2632","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,920,64400
"6505","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"1952","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1155,138600
"1771","Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",269,387.06,104120
"3622","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"6164","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1750,175000
"325","Taourirt                      ","2951-HOURIA                             ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",119,147.48,17550
"1060","Taourirt                      ","2991-ZAITOUNE MLG LWIDANE               ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",106,330,34980
"5369","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154.4,2300,355120
"663","Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",210,314.25,65992
"4047","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",152,2100,319200
"5043","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.72,1400,134008
"3479","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"2663","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840,58800
"1342","Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,465,55800
"2128","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",110,1210,133100
"4237","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",150,1915,287250
"1686","Nador - Driouch               ","LOT FATH EXTENSION SELOUANE             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,5000,5e+05
"5383","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",171.2,2400,410880
"2040","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",110,1430,157300
"5347","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",176,2200,387200
"5439","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",162.75,2550,415012.5
"6706","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"5544","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",192.2,2300,442060
"4392","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",164,2205,361620
"6913","Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",85,4705.88,4e+05
"6691","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"3278","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5,252000
"3938","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",131,1837.5,240712.5
"5130","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.95,1400,134330
"259","Nador - Driouch               ","23151-ACHOUROUK FVIT a Al Aruit         ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",52,3204.71,166644.69
"6992","Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",82,1030,84460
"4060","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,2100,315000
"5535","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",183.7,2550,468435
"824","Taourirt                      ","29121-ZAITOUNE 1-2 TR                   ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",105,383.62,40280
"3302","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5,252000
"4864","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",124.76,1400,174664
"1993","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",125,1155,144375
"1274","Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91,167800
"3277","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5,252000
"2867","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",105,1155,121275
"5982","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",117,1800,210600
"5586","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",189,2300,434700
"3161","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",134,1155,154770
"1383","Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,520,62400
"3430","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",256,1755,449280
"3321","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5,252000
"2343","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",270,1485,400950
"5565","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",242.2,2450,593390
"1634","Taourirt                      ","19141-ZAE TAOURIRT                      ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",305,900,274500
"3968","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",122,1837.5,224175
"5023","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.7,1400,133980
"6564","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"6583","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"5882","Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",158,387.34,61200
"2297","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",240,1375,330000
"2072","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",127,1155,146685
"857","Agence Oujda                  ","8901-LOTIS ESSAADA MCO                  ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",116,2640,306240
"1378","Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,465,55800
"3702","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",105,950,99750
"3205","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",120,1000,120000
"3796","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1210,121000
"2372","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",440,1750,770000
"2453","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840,58800
"437","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1875,225000
"2189","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",125,1000,125000
"2204","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",120,1000,120000
"1428","Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,465,55800
"4884","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.7,1400,133980
"5953","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",139,1800,250200
"1344","Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,510,61200
"735","Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",132,292,38544
"500","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",129,1850,238650
"471","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1800,216000
"5594","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",185,2400,444000
"4838","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",106.68,1400,149352
"4394","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,2079,311850
"4713","Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",117,720.76,84329
"5168","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2100,236313
"5832","Berkane                       ","ALIA LS AKLIM                           ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",77,3893.51,299800
"5547","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",192.2,2450,470890
"6324","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"5311","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154,2150,331100
"761","Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",200,349.2,69840
"4030","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",157,2600,408200
"1530","Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",158,590,93220
"5155","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2100,236313
"1421","Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",140,540,75600
"4173","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",170,1845,313650
"5310","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154,2200,338800
"6483","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1300,130000
"4105","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",168,2500,420000
"5510","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",193.8,2500,484500
"394","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",132,1825,240900
"2471","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800,56000
"1847","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+1 RDC HABITAT      ",380,1360.53,517000
"3327","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5,252000
"4046","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",152,2310,351120
"3929","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",127,1837.5,233362.5
"470","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1850,222000
"1602","Nador - Driouch               ","12121-AL IRFANE V.ECO.TR1               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT  STANDING VILLA SEMI ",200,4150.98,830195
"1773","Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,450,45000
"326","Taourirt                      ","2951-HOURIA                             ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",119,150,17850
"5784","Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",147,1600,235200
"4118","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",198,3000,594000
"4372","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",161,2205,355005
"5499","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",184.4,2300,424120
"3034","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112,1155,129360
"5372","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154.4,2150,331960
"4672","Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",500,720.76,360380
"4519","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",109,594.5,64800
"2322","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC HABITAT      ",240,1341.67,322000
"3855","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1207.5,231840
"6972","Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",85.5,4678.36,4e+05
"4643","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",122,595.08,72600
"2998","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",142,1210,171820
"2567","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,880,61600
"5418","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",162.75,2500,406875
"6758","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,1900,285000
"4768","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",111.33,1400,155862
"4707","Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",545,720.76,392814
"5307","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154,2150,331100
"2260","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",240,1312.5,315000
"1592","Taourirt                      ","2981-SBILA DEBDOU                       ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",127,280,35560
"5092","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",92.16,1400,129024
"1537","Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",157,590,92630
"1867","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2                  ",145,1505,218225
"2206","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",120,1000,120000
"4977","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.95,1400,134330
"3185","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",110,1000,110000
"151","Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",200,750,150000
"2240","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",210,1312.5,275625
"627","Jerada-Figuig                 ","98151-MASSIRA ANOUAL                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",100,60,6000
"5996","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",117,1850,216450
